StationCode,AnalyteName,UnitName,Result,SampleDate
OA-RW-09,Chromium,ug/L,0.441,01/10/2018
LE-RW-21,Chromium,ug/L,0.692,01/10/2018
IB-RW-13,Chromium,ug/L,0.581,01/10/2018
ME-CC,Acenaphthene,ug/L,0.38,01/10/2018
FH-RW-07,Chromium,ug/L,0.522,01/10/2018
CM-RW-10,Chromium,ug/L,0.677,01/10/2018
SP-RW-20,Chromium,ug/L,0.463,01/10/2018
IA-RW-06,Chromium,ug/L,0.553,01/10/2018
ME-CC,Captan,ug/L,8.6,01/10/2018
IA-RW-04,Chromium,ug/L,0.98,01/10/2018
ME-CC,Chromium,ug/L,42,01/10/2018
IA-RW-02,Chromium,ug/L,0.718,01/10/2018
IA-RW-05,Chromium,ug/L,0.452,01/10/2018
CB-RW-11,Chromium,ug/L,0.456,01/10/2018
ME-CC,Aldrin,ug/L,0.0075,01/10/2018
IA-RW-04,Chromium,ug/L,0.681,01/10/2018
